product_ln_cd,product_grp_nm,product_nm,product_category_risk_wm,product_category_protection_accumulation_alternate,product_category_need_based_by_product,product_type
LIFE,CUSTOM SURVIVORSHIP WHOLE LIFE,*,Risk Management,Life Insurance,Accumulation Life,Custom Whole Life
LIFE,CUSTOM WHOLE LIFE,*,Risk Management,Life Insurance,Accumulation Life,Custom Whole Life
LIFE,VARIABLE LIFE,*,Risk Management,Life Insurance,Accumulation Life,Variable Life
LIFE,VARIABLE LIFE,NEW YORK LIFE MARKET WEALTH PLUS,Risk Management,Life Insurance,Accumulation Life,Market Wealth Plus
LIFE,SURVIVORSHIP VARIABLE LIFE,*,Risk Management,Life Insurance,Accumulation Life,Variable Life
LIFE,SINGLE PREMIUM VARIABLE LIFE,*,Risk Management,Life Insurance,Accumulation Life,Variable Life
LIFE,SECURE WEALTH PLUS,*,Risk Management,Life Insurance,Accumulation Life,Secure Wealth Plus
LIFE,LEVEL TERM,*,Risk Management,Life Insurance,Protection Life,Level Term and Level Convertible_Renewable Term
LIFE,LEVEL CONVERTIBLE TERM,*,Risk Management,Life Insurance,Protection Life,Level Term and Level Convertible_Renewable Term
LIFE,LEVEL RENEWABLE TERM,*,Risk Management,Life Insurance,Protection Life,Level Term and Level Convertible_Renewable Term
LIFE,YEARLY RENEWABLE TERM,*,Risk Management,Life Insurance,Protection Life,Yearly Convertible_Renewable Term
LIFE,YEARLY CONVERTIBLE TERM,*,Risk Management,Life Insurance,Protection Life,Yearly Convertible_Renewable Term
LIFE,EMPLOYEE WHOLE LIFE,*,Risk Management,Life Insurance,Protection Life,Employee Whole Life
LIFE,WHOLE LIFE,*,Risk Management,Life Insurance,Protection Life,Whole Life
LIFE,VALUE WHOLE LIFE,*,Risk Management,Life Insurance,Protection Life,Whole Life
LIFE,SINGLE PREMIUM LIFE,*,Risk Management,Life Insurance,Protection Life,Whole Life
LIFE,SURVIVORSHIP WHOLE LIFE,*,Risk Management,Life Insurance,Protection Life,Whole Life
LIFE,SINGLE PREMIUM WHOLE LIFE,*,Risk Management,Life Insurance,Protection Life,Whole Life
LIFE,UNIVERSAL LIFE,*,Risk Management,Life Insurance,Protection Life,Universal Life
LIFE,EMPLOYEE ADJUSTABLE LIFE,*,Risk Management,Life Insurance,Protection Life,Universal Life
LIFE,CUSTOM UNIVERSAL LIFE,*,Risk Management,Life Insurance,Protection Life,Universal Life
LIFE,SURVIVORSHIP UNIVERSAL LIFE,*,Risk Management,Life Insurance,Protection Life,Universal Life
LIFE,CUSTOM SURVIVORSHIP UNIVERSAL LIFE,*,Risk Management,Life Insurance,Protection Life,Universal Life
LIFE,SINGLE PREMIUM UNIVERSAL LIFE,*,Risk Management,Life Insurance,Protection Life,Asset Flex_Preserver
LIFE,FLEX PREMIUM UNIVERSAL LIFE,*,Risk Management,Life Insurance,Protection Life,Asset Flex_Preserver
ANNUITY,VARIABLE DEFERRED,*,Risk Management,Non-GIA Annuities,Accumulation Annuities,Variable Deferred Annuities
ANNUITY,VARIABLE DEFERRED,NEW YORK LIFE INDEXFLEX VARIABLE ANNUITY,Risk Management,Non-GIA Annuities,Accumulation Annuities,Index Flex Annuities
ANNUITY,VARIABLE DEFERRED,NEW YORK LIFE PREMIER ADVISORY VARIABLE ANNUITY,Wealth Management,Non-GIA Annuities,Accumulation Annuities,Premier Advisory Variable Annuities
ANNUITY,FIXED DEFERRED,*,Risk Management,Non-GIA Annuities,Accumulation Annuities,Fixed Deferred Annuities
ANNUITY,GUARANTEED INCOME ANNUITY,*,Risk Management,GIA Annuities,Protection Annuities,Guaranteed Income Annuities
ANNUITY,CLEAR INCOME,*,Risk Management,GIA Annuities,Protection Annuities,Guaranteed Income Annuities
LTC,LTC 5.5 AND OLDER,*,Risk Management,Long Term Care,Long Term Care,Long Term Care
LTC,LTC 6.0,*,Risk Management,Long Term Care,Long Term Care,Long Term Care
LTC,NYL MY CARE,*,Risk Management,Long Term Care,Long Term Care,Long Term Care
IDI,MY INCOME PROTECTOR,*,Risk Management,Individual Disability Insurance,Individual Disability Insurance,Individual Disability Insurance
INVESTMENT,EAGLE,*,Wealth Management,Investment,Investment,Eagle
INVESTMENT,SECURITIES,*,Wealth Management,Investment,Investment,Brokerage Account_NYLSEC
INVESTMENT,MUTUAL FUNDS,*,Wealth Management,Investment,Investment,Direct Mutual Funds_Mainstay_NPMF_NP529
